"Payment";"Payment"

"ADMIN_SIGNUP_STEP_PAYMENT_PLUGIN_SIGNUP_SUBSCRIPTION";"Choose Subscription"

# admin menu
"Billing";"Billing"
"Gateways";"Gateways"
"Plans";"Plans"
"Subscriptions";"Subscriptions"
"Transactions";"Transactions"

# package description
"Free";"Free"
# price period i.e. $40 weekly
"%1$s %2$s";"%1$s %2$s"
# price per x period i.e. $2 per 3 days
"%1$s per %2$s %3$s";"%1$s per %2$s %3$s"
"day";"day";"days"
"week";"week";"weeks"
"month";"month";"months"
"year";"year";"years"
"daily";"daily"
"weekly";"weekly"
"monthly";"monthly"
"yearly";"yearly"
"One-time fee of %1$s";"One-time fee of %1$s"
# Limited one-time fee i.e. $30 for 2 months
"%1$s for %2$s %3$s";"%1$s for %2$s %3$s"

# payment.admin-gateway
"Manage Payment Gateways";"Manage Payment Gateways"
"PAYMENT_VIEWS_ADMIN_GATEWAYS_INDEX_DESCRIPTION";"Browse and manage payment
gateways."
"%s gateway found";"%s gateway found";"%s gateways found"
"PayPal";"PayPal"
"Payment Gateway: PayPal";"Payment Gateway: PayPal"
"API Signature";"API Signature"
"API Certificate";"API Certificate"
"2Checkout";"2Checkout"
"Payment Gateway: 2Checkout";"Payment Gateway: 2Checkout"
"API Username";"API Username"
"API Password";"API Password"

"PAYMENT_FORM_ADMIN_GATEWAY_2CHECKOUT_DESCRIPTION";"2Checkout Account Configuration:<br />
1) If you haven't already, you will need to establish a <a href=""%6$s"" target=""_blank"">2Checkout account</a>.<br />
2) <a target=""_blank"" href=""%1$s"">Create a new username</a>, checking both the API Access and API Updating checkboxes.  Insert the newly created username and password into this form below.<br />
<em>Note: If you change the secret word in your 2Checkout account, you will need to visit this page again and re-save the settings.</em><br />
3) <a target=""_blank"" href=""%2$s"">Enable Instant Notification Settings</a> (INS). Paste the following URL into the Global Settings > Global URL box, then click Apply and Enable All Notifications, then Save Settings:<br />%3$s<br />
4) <a target=""_blank"" href=""%4$s"">Update the Site Management</a> page, selecting the ""Header Redirect"" option, and pasting the following into the ""Approved URL"" field:<br />%5$s"

"PAYMENT_FORM_ADMIN_GATEWAY_PAYPAL_DESCRIPTION";"Paypal Account Configuration: <br />
1) If you haven't already, you will need to establish a <a target=""_blank"" href=""%1$s"">Paypal account</a>.<br />
2) Enable <a target=""_blank"" href=""%1$s"">API access</a> on your Paypal account via: <em>My Account &gt; Profile &gt; API Access &gt; Request API credentials &gt; Request API Signature</em>.<br />
3) Insert the Paypal API <a target=""_blank"" href=""%1$s"">username, password, and signature</a> values into this form.<br />
4) Enable <a target=""_blank"" href=""%2$s"">Instant Payment Notifications</a> via: <em>My Account &gt; Profile &gt; Instant Payment Notification Preferences &gt; Choose IPN Settings</em>.  The <em>IPN messages</em> should be <strong>enabled</strong>, and the <em>Notification URL</em> should be set to:<br /><strong>%3$s</strong>"

"PAYMENT_FORM_ADMIN_GATEWAY_TESTING_DESCRIPTION";"<b>This gateway is only for testing the payment functions and should not be enabled for normal site operation.</b>"

# payment.admin-index
"PAYMENT_VIEWS_ADMIN_INDEX_INDEX_DESCRIPTION";"Browse transactions. The search
box will look through the member name, username, email, transaction ID, and
order ID."
"%s transaction found";"%s transaction found";"%s transactions found"
"Gateway";"Gateway"
"Transaction ID";"Transaction ID"
"Parent Transaction ID";"Parent Transaction ID"
"Order ID";"Order ID"
"Deleted or Unknown Member";"Deleted or Unknown Member"
"Unknown Gateway";"Unknown Gateway"
"Refund";"Refund"
"Refunded";"Refunded"
"Okay";"Okay"
"Completed";"Completed"
"(%1$s)";"(%1$s)"
"details";"details"
"Member";"Member"
"Amount";"Amount"
"Transaction Details";"Transaction Details"
"Payment Gateway";"Payment Gateway"
"Payment Type";"Payment Type"
"Payment State";"Payment State"
"Payment Amount";"Payment Amount"
"Gateway Transaction ID";"Gateway Transaction ID"
"Gateway Order ID";"Gateway Order ID"

# payment.admin-package
"Manage Subscription Plans";"Manage Subscription Plans"
"PAYMENT_VIEWS_ADMIN_PACKAGES_INDEX_DESCRIPTION";"Browse and manage subscription plans."
"Add Plan";"Add Plan"
"%s plan found";"%s plan found";"%s plans found"
"Signup";"Signup"
"Day(s)";"Day(s)"
"Week(s)";"Week(s)"
"Month(s)";"Month(s)"
"Year(s)";"Year(s)"
"Forever";"Forever"
"Yes, members may select this plan.";"Yes, members may select this plan."
"No, members may not select this plan.";"No, members may not select this plan."
"Yes, show this plan on signup.";"Yes, show this plan on signup."
"No, only show this plan after signup.";"No, only show this plan after signup."
"Day";"Day"
"Week";"Week"
"Month";"Month"
"Year";"Year"
"The member will be placed into this level upon subscribing to this plan. If left empty, the default level at the time a subscription is chosen will be used.";"The member will be placed into this level upon subscribing to this plan. If left empty, the default level at the time a subscription is chosen will be used."
"The amount to charge the member. This will be charged once for one-time plans, and each billing cycle for recurring plans. Setting this to zero will make this a free plan.";"The amount to charge the member. This will be charged once for one-time plans, and each billing cycle for recurring plans. Setting this to zero will make this a free plan."
"One-time";"One-time"
"Fully Supported";"Fully Supported"
"Partially Supported";"Partially Supported"
"How often should members in this plan be billed?";"How often should members in this plan be billed?"
"Billing Cycle";"Billing Cycle"
"When should this plan expire? For one-time plans, the plan will expire after the period of time set here. For recurring plans, the user will be billed at the above billing cycle for the period of time specified here.";"When should this plan expire? For one-time plans, the plan will expire after the period of time set here. For recurring plans, the user will be billed at the above billing cycle for the period of time specified here."
"Billing Duration";"Billing Duration"
"Trial Duration";"Trial Duration"
"Please note that payment parameters (Price, Recurrence, Duration, Trial Duration) cannot be edited after creation. If you wish to change these, you will have to create a new plan and disable the current one.";"Please note that payment parameters (Price, Recurrence, Duration, Trial Duration) cannot be edited after creation. If you wish to change these, you will have to create a new plan and disable the current one."
"Create Subscription Plan";"Create Subscription Plan"
"Can members choose this plan? Please note that disabling this plan will grandfather in existing plan members until they pick a new plan.";"Can members choose this plan? Please note that disabling this plan will grandfather in existing plan members until they pick a new plan."
"Can members choose this plan on signup?";"Can members choose this plan on signup?"
"Show on signup?";"Show on signup?"
"Create Plan";"Create Plan"

# payment.admin-subscription
"Manage Subscriptions";"Manage Subscriptions"
"PAYMENT_VIEWS_ADMIN_SUBSCRIPTION_INDEX_DESCRIPTION";"Browse and manage
subscriptions. The search box will look through member name, username, and
email."
"%s subscription found";"%s subscription found";"%s subscriptions found"
"Plan";"Plan"
"Missing Plan";"Missing Plan"
"Deleted Member";"Deleted Member"
"Initial";"Initial"
