"Who has voted?";"Кто голосовал?"
"Sorry, you cannot rate this content.";"Извините, но вы не можете проголосовать за это."
"Sorry, guests cannot rate. Please login to continue.";"Извините, но гости не могут оценивать, пожалуйста, авторизуйтесь."
"Sorry, you cannot rate own content.";"Извините, но вы не можете оценивать свой контент."
"You have successfully rated this content.";"Ваш голос учтен!"

"vote";"vote";"votes"
"Score:";"Рейтинг:"
"Loading ...";"Подождите..."
"Who has voted?";"Кто голосовал?"
"Everyone";"Все"
"Friends";"Друзья"

"Rates Plugin";"Рейтинг"
"Member Level Settings";"Настройки уровня пользователей"
"Ratings level settings";"Эти настройки применяются ко всем пользователям, которые состоят в этой группе."
"Member Level";"Уровени пользователей"
"Allow Rate of content?";"Разрешить голосовать?"
"RATE_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Ниже вы можете управлять пользователям которым разрешено голосовать."
"No, do not allow content to be rated.";"Нет, если не разрешено.."
"Yes, allow rate content.";"Разрешить голосовать за все."
"Save Settings";"Сохранить насторйки"

"Global Settings";"Глобальные настройки"
"RATE_REVIEW_These settings affect all members in your community.";"These settings affect all members in your community.<br /> Rates plugin has great Reviews feature which works in Business Pages so if you have <a href='http://www.hire-experts.com/social-engine/pages-se4-plugin' target='_blank'>Pages plugin</a> then you get functional and stylish Reviews feature instead of common rates. Please check and purchase Pages plugin <a href='http://www.hire-experts.com/social-engine/pages-se4-plugin' target='_blank'>Pages plugin</a>. Note: reviews are shown only on Pages, on the rest pages it shows only rates."
"Profile Min Votes";"Minimum votes count to be listed"
"Profile Max Items";"Members number in widget"
"Profile Settings";"Member Settings"
"Group Min Votes";"Minimum votes count to be listed"
"Group Max Items";"Groups number in widget"
"Group Settings";"Group Settings"
"Event Min Votes";"Minimum votes count to be listed"
"Event Max Items";"Events number in widget"
"Event Settings";"Event Settings"
"Quiz Min Votes";"Minimum votes count to be listed"
"Quiz Max Items";"Quizzes number in widget"
"Quiz Settings";"Quiz Settings"
"Enable Widget";"Enable Widget"
"Album Min Votes";"Minimum votes count to be listed"
"Album Max Items";"Photos number in widget"
"Album Settings";"Album Settings"
"Blog Min Votes";"Minimum votes count to be listed"
"Blog Max Items";"Blogs number in widget"
"Blog Settings";"Blog Settings"
"Page Min Votes";"Minimum votes count to be listed"
"Page Max Items";"Pages number in widget"

"Rate This";"Оценить"
"Displays a member's polls on their profile.";"Отображение опросов пользователя в его профиле."
"Profile Most Rated";"Самые популярные профили"
"Profile";"Profile"
"Quiz Most Rated";"Most Rated Quizzes"
"Quiz";"Quiz"
"Group Most Rated";"Most Rated Groups"
"Group";"Group"
"Events Most Rated";"Most Rated Events"
"Events";"Events"
"Blogs Most Rated";"Most Rated Blogs"
"Blogs";"Blogs"
"Album Photos Most Rated";"Most Rated Photos"
"Album Photos";"Album Photos"
"Pages Most Rated";"Most Rated Pages"
"Pages";"Pages"
"rate_album_photo_enabled";"Allow to rate album photos"
"rate_blog_enabled";"Allow to rate blogs"

"RATE_ADMIN_MANAGE_FAQ";"Rates plugin has great option - it allows to show ratings on browse members/photos/blogs/etc pages. If you would like to show the current rate of each photo in browse photos page(the same for members, events, groups, etc) then you need to put Rates plugin code snippets(edit files). It doesn't requires special skills, just carefully follow instructions below OR if you would like professional set up then please purchase plugin installation service at <a href='http://www.hire-experts.com/social-engine-customization' target='_blank'>Hire-Experts.com</a>:<br/>
- turn on ""Development Mode"" for your site system<br/>
- just open specified file, find red-highlighted code snippet and replace it with green-highlighted code snippet. Note, that these instructions work for original files, if you have customized your files then check original file to make appropriate changes.<br/>
- open in browser the pages where you've put rates in<br/>
- turn off ""Development Mode"" for your site system<br/>
Please be accurate while making such customizations and backup your original files - it is highly recommended. Please feel free to contact our support team at Hire-Experts.com if you have any questions or problems"
"File:";"File - "
"Line:";"Line - "


# Rate Notify
"_ACTIVITY_ACTIONTYPE_RATED_NEW"; "New Rated"

# Reviews
"RATE_REVIEW_MENUITEM"; "Review Options"
"RATE_REVIEW_TYPEEDIT_TITLE"; "Edit Review Options"
"RATE_REVIEW_TYPEEDIT_DESCRIPTION"; "Please create new review options for wished Page Category(Type) OR edit existing review options. Please choose Page category to edit appropriate review options."
"RATE_REVIEW_TYPEEDITFORM_MOVEDOWN"; "Move Down"
"RATE_REVIEW_TYPEEDITFORM_MOVEUP"; "Move Up"
"RATE_REVIEW_TYPEEDITFORM_DELETE"; "Delete"
"RATE_REVIEW_CATEGORY"; "Select Page Category"
"RATE_REVIEW_TYPECREATE_TITLE"; "Create New Option"
"RATE_REVIEW_TYPECREATE_DESCRIPTION"; "This form allows you to create a new review option for chosen Page Category."
"RATE_REVIEW_TYPECREATEFORM_LABEL"; "Choose your review option caption, for example - Food, Service, Price for restaurants."
"RATE_REVIEW_HEADER"; "Review Types"
"RATE_REVIEW_TABITEM"; "Reviews"
"RATE_REVIEW_TABLIST"; "Browse Reviews"
"RATE_REVIEW_TABCREATE"; "Create Review"
"RATE_REVIEW_CREATE_TITLE"; "Create New Review"
"RATE_REVIEW_CREATE_DESCRIPTION"; ""
"RATE_REVIEW_CREATEFORM_TITLE"; "Title"
"RATE_REVIEW_CREATEFORM_BODY"; "Text"
"RATE_REVIEW_CREATEFORM_SUBMIT"; "Create Review"
"RATE_REVIEW_EDITFORM_TITLE"; "Title"
"RATE_REVIEW_EDITFORM_BODY"; "Text"
"RATE_REVIEW_EDITFORM_SUBMIT"; "Save Changes"
"RATE_REVIEW_EDIT_TITLE"; "Edit Review"
"RATE_REVIEW_EDIT_DESCRIPTION"; ""
"RATE_REVIEW_DELETE"; "Delete Review"
"RATE_REVIEW_DELETEDESC"; "Are you sure you want to delete this review?"
"RATE_REVIEW_CREATE_SUCCESS"; "Review was Created"
"RATE_REVIEW_CREATE_ERROR"; "Review was not created. Check form fields and try again or you do not have enough permissions. <a href='javascript:Review.goCreate()'>Go Back</a>"
"RATE_REVIEW_EDIT_SUCCESS"; "Review has been Saved"
"RATE_REVIEW_EDIT_ERROR"; "Review was not created. Check form fields and try again or you do not have enough permissions. <a href='javascript:Review.goEdit()'>Go Back</a>"
"RATE_REVIEW_DELETE_SUCCESS"; "Review was deleted"
"RATE_REVIEW_DELETE_ERROR"; "Review was not deleted"
"RATE_REVIEW_TIP"; "Nobody has created a review yet"
"RATE_REVIEW_TIP_CREATE"; "Be the first to %1$spost%2$s one!"
"RATE_REVIEW_BACK"; "Back To Reviews"
"RATE_REVIEW_TYPE_DELETE"; "Are you sure you want to delete this type?"
"RATE_REVIEW_TYPEEDITFORM_TIP"; "There are no types created yet."
"RATE_REVIEW_CREATE"; "Create New Review"
"RATE_REVIEW_TOTAL"; "(%s Reviews)"

# Reviews Levels
"RATE_REVIEW_LEVEL_CREATE_TITLE"; "Allow Review Posting?"
"RATE_REVIEW_LEVEL_CREATE_DESCRIPTION"; "Reviews works only on Pages, on other pages it shows rates. So you get Reviews add-on for Business Pages if you have purchased Pages plugin."
"RATE_REVIEW_LEVEL_CREATE_YES"; "Yes, members are allowed to post review."
"RATE_REVIEW_LEVEL_CREATE_NO"; "No, members are not allowed to post review."

# Reviews Global Search
"ITEM_TYPE_PAGEREVIEW"; "Page Reviews"

# Reviews Notify
"_ACTIVITY_ACTIONTYPE_PAGEREVIEW_NEW"; "Create Page Review"

# Reviews Email
"_EMAIL_NOTIFY_POST_PAGEREVIEW_TITLE"; "Your Page Reviewed"
"_EMAIL_NOTIFY_POST_PAGEREVIEW_DESCRIPTION"; "This email is sent to the member when someone posts a review the member's page."
"_EMAIL_NOTIFY_POST_PAGEREVIEW_SUBJECT"; "Hello [recipient_title]"
